Feature,Type
GDP_Growth,FRED
CPI_Inflation,FRED
Unemployment_Rate,FRED
Federal_Funds_Rate,FRED
Yield_Curve_Spread,FRED
Consumer_Confidence,FRED
Oil_Price,FRED
Trade_Balance,FRED
Corporate_Bond_Spread,FRED
TED_Spread,FRED
Treasury_10Y_Yield,FRED
Financial_Stress_Index,FRED
High_Yield_Spread,FRED
VIX,Market
SP500,Market
SP500_Return,Market
AAPL_Stock_Price,Company
AMZN_Stock_Price,Company
BA_Stock_Price,Company
BAC_Stock_Price,Company
C_Stock_Price,Company
CAT_Stock_Price,Company
COST_Stock_Price,Company
CVX_Stock_Price,Company
DIS_Stock_Price,Company
GOOGL_Stock_Price,Company
GS_Stock_Price,Company
HD_Stock_Price,Company
JNJ_Stock_Price,Company
JPM_Stock_Price,Company
LIN_Stock_Price,Company
MCD_Stock_Price,Company
MSFT_Stock_Price,Company
NFLX_Stock_Price,Company
NVDA_Stock_Price,Company
PG_Stock_Price,Company
TSLA_Stock_Price,Company
UNH_Stock_Price,Company
WFC_Stock_Price,Company
WMT_Stock_Price,Company
XOM_Stock_Price,Company
AAPL_Stock_Return,Company
AMZN_Stock_Return,Company
BA_Stock_Return,Company
BAC_Stock_Return,Company
C_Stock_Return,Company
CAT_Stock_Return,Company
COST_Stock_Return,Company
CVX_Stock_Return,Company
DIS_Stock_Return,Company
GOOGL_Stock_Return,Company
GS_Stock_Return,Company
HD_Stock_Return,Company
JNJ_Stock_Return,Company
JPM_Stock_Return,Company
LIN_Stock_Return,Company
MCD_Stock_Return,Company
MSFT_Stock_Return,Company
NFLX_Stock_Return,Company
NVDA_Stock_Return,Company
PG_Stock_Return,Company
TSLA_Stock_Return,Company
UNH_Stock_Return,Company
WFC_Stock_Return,Company
WMT_Stock_Return,Company
XOM_Stock_Return,Company
AAPL_Stock_Volume,Company
AMZN_Stock_Volume,Company
BA_Stock_Volume,Company
BAC_Stock_Volume,Company
C_Stock_Volume,Company
CAT_Stock_Volume,Company
COST_Stock_Volume,Company
CVX_Stock_Volume,Company
DIS_Stock_Volume,Company
GOOGL_Stock_Volume,Company
GS_Stock_Volume,Company
HD_Stock_Volume,Company
JNJ_Stock_Volume,Company
JPM_Stock_Volume,Company
LIN_Stock_Volume,Company
MCD_Stock_Volume,Company
MSFT_Stock_Volume,Company
NFLX_Stock_Volume,Company
NVDA_Stock_Volume,Company
PG_Stock_Volume,Company
TSLA_Stock_Volume,Company
UNH_Stock_Volume,Company
WFC_Stock_Volume,Company
WMT_Stock_Volume,Company
XOM_Stock_Volume,Company
Year,Time
Month,Time
Quarter,Time
DayOfWeek,Time
IsMonthEnd,Time
